City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kodiak,US,2022-07-28 18:52:04,57.79,-152.4072,58.32,60,5,2.57
1,Vaini,TO,2022-07-28 18:52:04,-21.2,-175.2,73.56,100,40,6.91
2,Amapa,BR,2022-07-28 18:52:05,1.0,-52.0,77.95,93,100,2.98
3,Mataura,NZ,2022-07-28 18:52:05,-46.1927,168.8643,47.48,97,100,4.27
4,Bitadton,PH,2022-07-28 18:52:05,11.4969,122.0851,76.17,84,100,11.21
5,Hilo,US,2022-07-28 18:52:05,19.7297,-155.09,85.28,77,40,3.44
6,Victoria,HK,2022-07-28 18:47:53,22.2855,114.1577,87.33,80,100,3.0
7,Sao Filipe,CV,2022-07-28 18:52:06,14.8961,-24.4956,79.81,78,37,12.01
8,Bac Lieu,VN,2022-07-28 18:52:06,9.285,105.7244,80.47,83,6,5.79
9,Atuona,PF,2022-07-28 18:52:06,-9.8,-139.0333,76.96,77,25,24.7
10,Maraa,BR,2022-07-28 18:52:07,-1.8333,-65.3667,86.81,56,88,1.16
11,Upernavik,GL,2022-07-28 18:52:07,72.7868,-56.1549,42.67,69,100,6.02
12,Port Elizabeth,ZA,2022-07-28 18:52:07,-33.918,25.5701,62.89,94,0,6.91
13,Tilichiki,RU,2022-07-28 18:52:07,60.4667,166.1,46.53,80,100,5.99
14,Quatre Cocos,MU,2022-07-28 18:52:08,-20.2078,57.7625,69.91,76,5,11.95
15,Lagoa,PT,2022-07-28 18:52:08,39.05,-27.9833,72.5,74,3,4.36
16,Rikitea,PF,2022-07-28 18:52:08,-23.1203,-134.9692,73.56,73,100,20.58
17,Faanui,PF,2022-07-28 18:52:09,-16.4833,-151.75,79.23,73,1,25.72
18,Cape Town,ZA,2022-07-28 18:52:09,-33.9258,18.4232,59.41,84,20,19.57
19,Busselton,AU,2022-07-28 18:52:09,-33.65,115.3333,60.96,87,100,17.54
20,Dingle,PH,2022-07-28 18:52:09,10.9995,122.6711,77.68,89,100,7.36
21,Lompoc,US,2022-07-28 18:52:10,34.6391,-120.4579,75.34,74,40,8.05
22,Buala,SB,2022-07-28 18:52:10,-8.145,159.5921,79.65,81,59,8.86
23,Cabo San Lucas,MX,2022-07-28 18:47:54,22.8909,-109.9124,93.61,63,21,7.85
24,Avarua,CK,2022-07-28 18:50:15,-21.2078,-159.775,75.25,83,75,21.85
25,Ushuaia,AR,2022-07-28 18:49:42,-54.8,-68.3,46.06,57,0,13.8
26,Nome,US,2022-07-28 18:52:10,64.5011,-165.4064,53.17,76,0,0.0
27,Potosi,BO,2022-07-28 18:52:11,-19.5836,-65.7531,65.26,26,12,6.91
28,Qaanaaq,GL,2022-07-28 18:49:34,77.484,-69.3632,41.02,68,10,2.62
29,Kapaa,US,2022-07-28 18:51:18,22.0752,-159.319,79.48,78,75,10.36
30,Butaritari,KI,2022-07-28 18:52:11,3.0707,172.7902,81.93,73,59,15.26
31,Port Alfred,ZA,2022-07-28 18:52:11,-33.5906,26.891,63.18,87,1,1.99
32,Yellowknife,CA,2022-07-28 18:47:48,62.456,-114.3525,64.92,68,100,9.22
33,Yar-Sale,RU,2022-07-28 18:51:02,66.8333,70.8333,62.82,63,92,5.44
34,Hobart,AU,2022-07-28 18:52:12,-42.8794,147.3294,41.05,82,40,10.36
35,Winchester,GB,2022-07-28 18:52:12,51.0651,-1.3187,71.69,45,0,5.75
36,Khatanga,RU,2022-07-28 18:52:12,71.9667,102.5,58.98,68,100,4.85
37,Axim,GH,2022-07-28 18:52:12,4.8699,-2.2405,75.72,80,12,12.15
38,Mount Isa,AU,2022-07-28 18:52:13,-20.7333,139.5,42.57,56,0,5.75
39,Albany,US,2022-07-28 18:52:13,42.6001,-73.9662,90.05,64,100,3.0
40,Hithadhoo,MV,2022-07-28 18:52:13,-0.6,73.0833,82.65,73,100,12.5
41,Torbay,CA,2022-07-28 18:49:15,47.6666,-52.7314,64.27,87,75,14.0
42,Santa Isabel,BR,2022-07-28 18:52:14,-23.3156,-46.2214,82.11,29,98,9.31
43,Georgetown,MY,2022-07-28 18:49:12,5.4112,100.3354,82.33,90,20,3.44
44,Kavieng,PG,2022-07-28 18:52:14,-2.5744,150.7967,81.61,76,69,17.38
45,Jamestown,US,2022-07-28 18:50:41,42.097,-79.2353,82.06,49,20,12.66
46,New Norfolk,AU,2022-07-28 18:52:14,-42.7826,147.0587,40.71,83,7,1.01
47,Saskylakh,RU,2022-07-28 18:52:14,71.9167,114.0833,63.1,73,100,5.82
48,Cidreira,BR,2022-07-28 18:53:15,-30.1811,-50.2056,68.76,83,100,8.55
49,Tuktoyaktuk,CA,2022-07-28 18:52:27,69.4541,-133.0374,44.6,93,100,12.66
50,Nantucket,US,2022-07-28 18:52:18,41.2835,-70.0995,82.54,81,0,12.66
51,Samarai,PG,2022-07-28 18:53:15,-10.6167,150.6667,78.1,85,95,13.8
52,Dikson,RU,2022-07-28 18:53:15,73.5069,80.5464,44.51,100,100,17.81
53,Chokurdakh,RU,2022-07-28 18:53:16,70.6333,147.9167,47.68,52,100,9.69
54,Barrow,US,2022-07-28 18:53:16,71.2906,-156.7887,33.37,99,100,12.46
55,Keti Bandar,PK,2022-07-28 18:53:16,24.1447,67.4497,82.13,82,44,15.5
56,Bethel,US,2022-07-28 18:53:16,41.3712,-73.414,90.36,70,100,1.01
57,Tiksi,RU,2022-07-28 18:53:17,71.6872,128.8694,52.61,92,85,4.34
58,Kruisfontein,ZA,2022-07-28 18:53:17,-34.0033,24.7314,60.21,68,0,6.67
59,Yantal,RU,2022-07-28 18:53:17,56.8471,105.2542,56.26,99,100,4.7
60,Kangaatsiaq,GL,2022-07-28 18:53:17,68.3065,-53.4641,40.53,90,91,7.43
61,Bredasdorp,ZA,2022-07-28 18:53:18,-34.5322,20.0403,53.24,73,0,4.74
62,Wladyslawowo,PL,2022-07-28 18:53:18,54.7909,18.4009,63.95,86,6,7.14
63,Zaozerne,UA,2022-07-28 18:53:18,45.1582,33.2787,76.28,62,0,5.08
64,Port Hardy,CA,2022-07-28 18:53:19,50.6996,-127.4199,62.78,82,0,3.44
65,Kaitangata,NZ,2022-07-28 18:53:19,-46.2817,169.8464,41.76,93,100,7.9
66,Gull Lake,CA,2022-07-28 18:49:15,50.1001,-108.4847,80.15,27,0,3.53
67,San Patricio,US,2022-07-28 18:53:19,28.017,-97.5169,97.52,39,27,18.5
68,Orumiyeh,IR,2022-07-28 18:53:19,37.5527,45.0761,72.95,60,20,4.61
69,Husavik,IS,2022-07-28 18:53:20,66.0449,-17.3389,53.55,73,16,8.59
70,Punta Arenas,CL,2022-07-28 18:53:20,-53.15,-70.9167,42.91,87,75,28.77
71,Saldanha,ZA,2022-07-28 18:53:20,-33.0117,17.9442,57.25,89,20,11.59
72,Villacarrillo,ES,2022-07-28 18:53:21,38.1156,-3.0848,86.7,18,0,7.25
73,Nago,JP,2022-07-28 18:53:21,26.5881,127.9761,83.25,85,10,6.96
74,Vardo,NO,2022-07-28 18:51:00,70.3705,31.1107,49.98,87,75,13.8
75,Grindavik,IS,2022-07-28 18:53:21,63.8424,-22.4338,48.67,81,75,10.36
76,Souillac,MU,2022-07-28 18:53:21,-20.5167,57.5167,70.18,78,20,10.36
77,Sisimiut,GL,2022-07-28 18:53:22,66.9395,-53.6735,44.53,77,100,5.68
78,Buraydah,SA,2022-07-28 18:53:22,26.326,43.975,100.85,13,96,10.09
79,Otane,NZ,2022-07-28 18:53:22,-39.8833,176.6333,52.02,76,9,8.14
80,Pevek,RU,2022-07-28 18:53:23,69.7008,170.3133,39.52,78,100,3.8
81,Caborca,MX,2022-07-28 18:50:43,30.5838,-111.101,80.62,66,100,5.37
82,San Estanislao,CO,2022-07-28 18:53:23,10.3983,-75.1511,84.09,80,100,7.7
83,Labuhan,ID,2022-07-28 18:52:44,-6.8844,112.2051,76.26,84,58,8.5
84,Rakai,UG,2022-07-28 18:53:23,-0.72,31.4839,64.42,75,69,1.54
85,Pathein,MM,2022-07-28 18:53:23,16.7833,94.7333,80.15,86,18,6.08
86,Baykit,RU,2022-07-28 18:53:24,61.67,96.37,60.87,97,99,4.29
87,Bluff,NZ,2022-07-28 18:53:24,-46.6,168.3333,47.8,72,100,10.27
88,Castro,BR,2022-07-28 18:53:24,-24.7911,-50.0119,72.18,48,100,10.31
89,Constitucion,CL,2022-07-28 18:53:24,-35.3333,-72.4167,58.59,58,0,11.74
90,Pyu,MM,2022-07-28 18:53:25,18.4833,96.4333,78.35,90,95,4.18
91,Boende,CD,2022-07-28 18:53:25,-0.2167,20.8667,75.78,79,100,1.1
92,Hermanus,ZA,2022-07-28 18:54:15,-34.4187,19.2345,58.26,74,0,10.36
93,San Cristobal,VE,2022-07-28 18:54:25,7.7669,-72.225,77.18,55,98,7.29
94,Colac,AU,2022-07-28 18:54:26,-38.3333,143.5833,43.83,94,23,3.98
95,Atasu,KZ,2022-07-28 18:54:26,48.6814,71.6433,67.32,68,81,7.72
96,Luderitz,NA,2022-07-28 18:54:26,-26.6481,15.1594,55.18,85,50,4.21
97,Bubaque,GW,2022-07-28 18:54:26,11.2833,-15.8333,80.2,81,22,12.35
98,Lydenburg,ZA,2022-07-28 18:54:27,-25.0978,30.4597,50.4,81,0,2.3
99,Diego De Almagro,CL,2022-07-28 18:54:27,-26.3667,-70.05,76.89,15,100,5.5
100,Flinders,AU,2022-07-28 18:53:48,-34.5833,150.8552,49.17,85,72,5.01
101,Sergeyevka,KZ,2022-07-28 18:54:27,53.88,67.4158,61.54,97,100,12.17
102,Pilar,BR,2022-07-28 18:54:27,-9.5972,-35.9567,76.93,92,48,7.7
103,Severo-Kurilsk,RU,2022-07-28 18:54:28,50.6789,156.125,52.2,93,100,8.14
104,Taltal,CL,2022-07-28 18:54:28,-25.4,-70.4833,65.53,66,99,8.46
105,Airai,TL,2022-07-28 18:54:28,-8.9266,125.4092,51.53,84,71,3.87
106,Mahebourg,MU,2022-07-28 18:54:28,-20.4081,57.7,70.09,78,20,10.36
107,Cockburn Town,TC,2022-07-28 18:54:29,21.4612,-71.1419,85.96,62,40,12.66
108,Arraial Do Cabo,BR,2022-07-28 18:54:29,-22.9661,-42.0278,85.96,39,20,14.97
109,Saint-Philippe,RE,2022-07-28 18:54:29,-21.3585,55.7679,67.21,83,4,8.55
110,Hakkari,TR,2022-07-28 18:54:30,37.5833,44.1667,64.67,34,1,1.43
111,Sao Gabriel Da Cachoeira,BR,2022-07-28 18:54:30,-0.1303,-67.0892,84.0,74,40,3.44
112,Soubre,CI,2022-07-28 18:54:30,5.7856,-6.6083,75.58,75,75,5.3
113,Makakilo City,US,2022-07-28 18:54:30,21.3469,-158.0858,80.01,66,0,3.44
114,Lao Cai,VN,2022-07-28 18:49:34,22.4833,103.95,77.4,94,100,1.43
115,Novyy Svit,UA,2022-07-28 18:54:31,47.8059,38.0211,77.68,44,50,5.32
116,Freeport,US,2022-07-28 18:54:31,40.6576,-73.5832,90.41,67,100,5.99
117,Panguna,PG,2022-07-28 18:54:31,-6.3164,155.4848,67.53,95,99,2.35
118,Saint George,US,2022-07-28 18:50:47,37.1041,-113.5841,93.63,40,0,5.75
119,San Carlos De Bariloche,AR,2022-07-28 18:50:28,-41.1456,-71.3082,47.95,49,0,23.02
120,Tecoanapa,MX,2022-07-28 18:54:32,16.5167,-98.75,85.5,62,26,8.79
121,Anadyr,RU,2022-07-28 18:54:32,64.75,177.4833,50.5,87,75,11.18
122,Yablonovo,RU,2022-07-28 18:54:32,50.8523,37.3574,66.54,80,55,10.74
123,Ancud,CL,2022-07-28 18:54:32,-41.8697,-73.8203,47.5,79,100,5.39
124,Tres Picos,MX,2022-07-28 18:54:33,15.8667,-93.5333,86.22,70,94,5.66
125,Leninskoye,KZ,2022-07-28 18:54:33,41.7589,69.3864,75.7,31,6,7.29
126,Nanortalik,GL,2022-07-28 18:54:33,60.1432,-45.2371,45.39,79,14,6.69
